name,price,url
Almost Perfect,2.25,https://www.chocolate.co.uk/products/almost-perfect
Hot Chocolate Shaker,8.50,https://www.chocolate.co.uk/products/hot-chocolate-shaker-new
Salted Caramel,5.00,https://www.chocolate.co.uk/products/blonde-chocolate-sea-salt
Milk Chocolate Honeycomb - Bag,8.50,https://www.chocolate.co.uk/products/milk-chocolate-honeycomb
Blonde Chocolate Honeycomb - Bag,8.50,https://www.chocolate.co.uk/products/blonde-chocolate-sea-salt-honeycomb
Dark Chocolate Orange Peel,10.00,https://www.chocolate.co.uk/products/dark-chocolate-orange-peel
Dark Chocolate Honeycomb - Bag,8.50,https://www.chocolate.co.uk/products/dark-chocolate-honeycomb
Dark Chocolate Ginger,8.95,https://www.chocolate.co.uk/products/dark-chocolate-ginger
Salted Caramels Dark Chocolate,19.99,https://www.chocolate.co.uk/products/salt-caramels-dark-chocolate
Blonde Chocolate Truffles,19.99,https://www.chocolate.co.uk/products/blonde-chocolate-truffles
