name,price,url
Hokey Pokey Blondie Egg (Small),10.00,https://www.chocolate.co.uk/products/hokey-pokey-small-blondie-egg
Tea & Biscuit,5.00,https://www.chocolate.co.uk/products/tea-biscuit-chocolate-bar
Salt Caramel Malt Balls,9.00,https://www.chocolate.co.uk/products/salt-caramel-malt-balls
Chai Caramel Latte,5.00,https://www.chocolate.co.uk/products/chai-caramel-latte
Salted Caramels Blonde Chocolate,19.95,https://www.chocolate.co.uk/products/salted-caramels-blonde-chocolate
Gift Voucher,10.00,https://www.chocolate.co.uk/products/gift-voucher
Peppermint Malt Balls,9.00,https://www.chocolate.co.uk/products/peppermint-malt-balls
Orange Malt Balls,7.50,https://www.chocolate.co.uk/products/orange-malt-balls
2.5kg Bulk 41% Milk Hot Chocolate Drops,50.00,https://www.chocolate.co.uk/products/2-5kg-bulk-of-our-41-milk-hot-chocolate-drops
Chocolate Celebration Hamper,55.00,https://www.chocolate.co.uk/products/celebration-hamper
