name,price,url
Blonde Chocolate Malt Balls,9.00,https://www.chocolate.co.uk/products/blonde-chocolate-malt-balls
Caramelised Milk,5.00,https://www.chocolate.co.uk/products/caramelised-milk-chocolate-bar
Pistachio & Cranberry,5.00,https://www.chocolate.co.uk/products/pistachio-cranberry-chocolate-bar
Milk Chocolate Malt Balls,9.00,https://www.chocolate.co.uk/products/milk-chocolate-malt-balls
Cinnamon Toast,5.00,https://www.chocolate.co.uk/products/cinnamon-toast-chocolate-bar
Bulk 61% Dark Hot Chocolate Drops 750 grams,17.50,https://www.chocolate.co.uk/products/750-gram-bulk-61-dark-hot-chocolate-drops
Crunchy Biscuit,5.00,https://www.chocolate.co.uk/products/crunchy-biscuit-blonde-chocolate-bar
Milk Chocolate Honeycomb Egg & Honeycomb (Large),25.00,https://www.chocolate.co.uk/products/hokey-pokey-large-milkey-egg-honeycomb
Pretzel Caramel,5.00,https://www.chocolate.co.uk/products/pretzel-caramel-chocolate-bar
Marc De Champagne Truffles,14.99,https://www.chocolate.co.uk/products/marc-de-champagne-truffles
